Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1976.04.25,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4282235.png,"Teatro, Infantis, segunda coluna, terceiro item",4282235h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.05.01,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4239045.png,"Teatro, Infantis, segunda coluna, segundo item",4239045h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1976.05.02,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4239168.png,"Teatro, Infantis, segunda coluna, primeiro item",4239168h.png,Teatro,O Mais Belo dos Paraísos,3o tipo do anuncio,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1977.05.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4317199.png,"Acontece, Música, Festança",4317199h.png,Show,Movimento Ensaio na Praça,Grupo Lwalaba e outros,"Teatro da Praça – Rua Apa, 298, Campos Elíseos, São Paulo, SP",Baixo,
1977.05.30,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4318401.png,"No chorinho, os Encontros Nacional e Paulista",4318401h.png,Show,Movimento Ensaio na Praça,Grupo Lwalaba (foto) e outros,,Médio,
1977.05.31,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4318583.png,"Acontece, Música, Festança",4318583h.png,Show,Movimento Ensaio na Praça,Grupo Lwalaba e Eliane Estevão,,Baixo,
1977.09.09,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4261956.png,"Para quem vai sair, África e Nordeste numa Festança à meia-noite",4261956h.png,Show,Movimento Ensaio na Praça,Grupo Lwalaba e Eliane Estevão,,Médio,
1977.10.01,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4264101.png,"Sexta linha, terceira coluna",4264101h.png,Teatro,Pulando Corda,Anúncio.,"Teatro João Caetano – Rua Borges Lagoa, 650, Vila Clementino, São Paulo, SP",Baixo,
1977.11.05,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4266939.png,"Teatro, segunda coluna, “Pulando Corda” em outro teatro",4266939h.png,Teatro,Pulando Corda,Selma Egrei,"Teatro Oficina – Rua Jaceguai, 520, Bixiga, São Paulo, SP",Médio,
1977.12.22,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4329960.png,"“Sem Retoque”, a peça da meia-noite",4329960h.png,Teatro,Sem Retoque,Breve descrição da peça (foto),"Teatro de Arena Eugênio Kusnet – Rua Doutor Teodoro Baima, 94, Vila Buarque, São Paulo, SP",Baixo,
1977.12.23,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4330110.png,"À meia-noite a verdade, “Sem Retoque”",4330110h.png,Teatro,Sem Retoque,Breve descrição da peça (foto),"Teatro de Arena Eugênio Kusnet – Rua Doutor Teodoro Baima, 94, Vila Buarque, São Paulo, SP",Médio,
1978.03.21,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4281204.png,“Missa do Vaqueiro” inaugura teatro,4281204h.png,Teatro,Missa do Vaqueiro,Inauguração do espaço,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
1978.03.29,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4282766.png,A missa do vaqueiro transformada em peça,4282766h.png,Teatro,Missa do Vaqueiro,Bela reportagem sobre a peça (foto com Irene),"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Alto,
1978.04.01,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4235021.png,"Rezas de Sol para a Missa do Vaqueiro, sétima linha, primeira coluna",4235021h.png,Teatro,Missa do Vaqueiro,Propaganda,"Auditório MEC-Funarte – Alameda Nothmann, 1058, Campos Elísios, São Paulo, SP",Baixo,
